country,iso3,depression_pct,anxiety_pct,suicide_rate_per100k,psychiatrists_per100k,mh_budget_pct_health,mh_spend_usd_per_capita,treatment_gap_pct,social_media_hours_daily,internet_penetration_pct,gdp_per_capita_usd,population_millions,covid_mh_increase_pct,youth_mh_crisis_score,mh_policy_exists,mh_law_exists,mh_crisis_index,total_affected_millions,psychiatrists_per_million,mh_investment_gap,depression_anxiety_comorbidity_est_pct,mh_system_score,income_group_code,data_year,data_source,region_Americas,region_E. Med,region_Europe,region_S-E Asia,region_W. Pacific,income_group_Low,income_group_Lower-Middle,income_group_Upper-Middle,social_media_mental_health_risk_Low (<1.5h),social_media_mental_health_risk_Moderate (1.5-2.5h),social_media_mental_health_risk_Very High (>3.5h)
Malawi,MWI,3.3,4.5,6.5,0.02,0.8,0.1,97,1.1,16,700,20.4,86,9.5,0,0,87,1.59,0.2,0.078,1.65,3.4,1,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025,False,False,False,False,False,True,False,False,True,False,False
Mozambique,MOZ,3.4,4.6,8.2,0.04,0.6,0.1,96,1.2,18,600,32.8,85,9.4,0,0,86,2.62,0.4,0.058,1.7,3.1,1,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025,False,False,False,False,False,True,False,False,True,False,False
Ethiopia,ETH,3.5,4.8,10.2,0.04,1.0,0.1,95,1.4,22,1200,123.4,82,9.3,0,0,84,10.24,0.4,0.095,1.75,4.7,1,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025,False,False,False,False,False,True,False,False,True,False,False
Zimbabwe,ZWE,4.0,5.2,15.4,0.05,0.7,0.1,94,2.1,35,1000,15.9,82,9.3,0,0,83,1.46,0.5,0.066,2.0,4.1,1,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025,False,False,False,False,False,True,False,False,False,True,False
Tanzania,TZA,3.6,4.9,8.6,0.04,0.8,0.1,94,1.6,28,1200,65.5,80,9.2,0,0,82,5.57,0.4,0.075,1.8,4.4,1,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025,False,False,False,False,False,True,False,False,False,True,False
Uganda,UGA,3.5,4.8,12.0,0.08,1.0,0.1,93,1.8,24,900,47.1,80,9.1,0,0,81,3.91,0.8,0.093,1.75,5.4,1,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025,False,False,False,False,False,True,False,False,False,True,False
Lesotho,LSO,4.8,5.8,87.5,0.05,1.1,0.2,93,1.3,29,1200,2.2,71,9.2,0,0,80,0.23,0.5,0.102,2.4,5.6,2,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025,False,False,False,False,False,False,True,False,True,False,False
Eswatini,SWZ,4.5,5.5,40.5,0.08,1.0,0.2,92,1.4,41,4200,1.2,72,9.1,0,0,79,0.12,0.8,0.092,2.25,5.7,2,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025,False,False,False,False,False,False,True,False,True,False,False
Ukraine,UKR,6.3,7.1,18.5,3.1,2.8,8.0,62,2.8,72,4108,44.1,45,8.5,1,1,78,5.91,31.0,0.174,3.15,24.2,3,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025,False,False,True,False,False,False,False,True,False,False,False
Nigeria,NGA,3.9,5.2,9.0,0.1,0.9,0.1,90,4.8,55,2200,218.5,72,9.1,0,0,78,19.88,1.0,0.081,1.95,6.0,2,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025,False,False,False,False,False,False,True,False,False,False,True
North Korea,PRK,3.4,4.1,9.8,0.3,0.8,0.1,95,0.1,8,1800,25.9,70,8.5,0,0,76,1.94,3.0,0.076,1.7,4.4,1,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025,False,False,False,False,True,True,False,False,True,False,False
Ghana,GHA,3.7,5.1,7.4,0.1,1.2,0.2,91,2.8,62,2400,33.5,72,9.0,1,1,76,2.95,1.0,0.109,1.85,6.6,2,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025,False,False,False,False,False,False,True,False,False,False,False
Kenya,KEN,3.8,5.0,8.9,0.2,1.1,0.2,89,3.5,43,2200,55.1,68,8.9,1,0,74,4.85,2.0,0.098,1.9,7.0,2,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025,False,False,False,False,False,False,True,False,False,False,False
Iraq,IRQ,4.8,8.8,5.2,0.6,1.2,0.8,84,2.9,71,5300,42.2,68,8.9,0,0,73,5.74,6.0,0.101,2.4,9.4,2,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025,False,True,False,False,False,False,True,False,False,False,False
