Country,Healthcare_Stress_Score
Malawi,83.79
Mozambique,84.11
Ethiopia,83.11
Zimbabwe,82.44
Tanzania,81.97
Uganda,81.02
Lesotho,79.91
Eswatini,78.88
Ukraine,70.11
Nigeria,76.74
North Korea,75.91
Ghana,75.8
Kenya,72.24
Iraq,71.82
Bangladesh,73.36
Nepal,72.98
Pakistan,71.71
Brazil,70.34
Venezuela,70.11
Myanmar,69.89
Bolivia,69.64
South Africa,70.65
Cambodia,69.89
Morocco,69.57
Lebanon,68.57
Papua New Guinea,67.76
India,66.15
Solomon Islands,67.84
Tunisia,65.55
Indonesia,66.08
Egypt,65.4
Iran,64.51
Philippines,63.97
Ecuador,63.97
Sri Lanka,64.27
Peru,62.6
Jordan,63.56
Colombia,61.33
Vietnam,62.68
Russia,58.62
Uzbekistan,62.41
Mexico,60.37
Mongolia,60.64
Thailand,59.06
Fiji,61.87
Georgia,57.88
Azerbaijan,58.03
Argentina,56.67
Armenia,57.32
Kazakhstan,57.52
Malaysia,55.12
Chile,53.77
Turkey,55.33
Costa Rica,53.85
China,53.91
Romania,53.21
Hungary,51.32
Portugal,51.28
Saudi Arabia,52.22
United States,52.88
Serbia,52.08
Poland,50.64
Greece,50.86
Lithuania,48.1
Estonia,46.76
Israel,47.04
Cuba,46.58
Slovenia,46.04
Czech Republic,46.02
South Korea,44.32
New Zealand,44.56
Hong Kong,43.96
Australia,46.63
France,43.49
UAE,44.09
Belgium,42.78
Taiwan,43.14
Canada,43.15
United Kingdom,43.59
Italy,42.86
Japan,42.37
Ireland,42.55
Finland,40.87
Spain,42.91
Austria,40.84
Germany,39.86
Netherlands,39.58
Sweden,38.87
Denmark,38.3
Singapore,39.59
Switzerland,37.16
Norway,36.7
